16549637	This administrative claims-based model for profiling hospitals performs consistently over several years and produces estimates of risk-standardized mortality that are good surrogates for estimates from a medical record model.
18540730	The authors conducted a meta-analytic review to assess the prevalence of major depressive disorder and depressive symptoms among Latinos compared with non-Latino Whites in the United States using community-based data. Random-effects estimates were calculated for 8 studies meeting inclusion criteria that reported lifetime prevalence of major depressive disorder (combined N = 76,270) and for 23 studies meeting inclusion criteria that reported current prevalence of depressive symptoms (combined N = 38,997). Findings did not indicate a group difference in lifetime prevalence of major depressive disorder (odds ratio = 0.89, 95% confidence interval = 0.72, 1.10). Latinos reported more depressive symptoms than non-Latino Whites (standardized mean difference = 0.19, 95% confidence interval = 0.12, 0.25); however, this effect was small and does not appear to suggest a clinically meaningful preponderance of depressive symptoms among Latinos. Findings are examined in the context of theories on vulnerability and resilience, and recommendations for future research are discussed.
16120847	These recommendations should be equally applicable to stroke patients receiving rehabilitation in all medical system settings and are not based on clinical problems or resources unique to the Federal Medical System.
19819502	The proportion of STEMI patients treated with reperfusion has improved but the interval to its application has not been shortened. To improve the latter it is mandatory an earlier contact with the medical system, a shortening of the intervals door-needle and door-balloon through better coordination between the 061, the sanitary personnel and the hospital administration, and to consider the subject as a real sanitary priority.
16442483	Little attention has been paid to the symptom management needs of patients with life-threatening diseases other than cancer. In this study, we aimed to determine to what extent patients with progressive chronic diseases have similar symptom profiles. A systematic search of medical databases (MEDLINE, EMBASE, and PsycINFO) and textbooks identified 64 original studies reporting the prevalence of 11 common symptoms among end-stage patients with cancer, acquired immunodeficiency syndrome (AIDS), heart disease, chronic obstructive pulmonary disease, or renal disease. Analyzing the data in a comparative table (a grid), we found that the prevalence of the 11 symptoms was often widely but homogeneously spread across the five diseases. Three symptoms-pain, breathlessness, and fatigue-were found among more than 50% of patients, for all five diseases. There appears to be a common pathway toward death for malignant and nonmalignant diseases. The designs of symptom prevalence studies need to be improved because of methodological disparities in symptom assessment and designs.
12093204	Aspirin (or another oral antiplatelet drug) is protective in most types of patient at increased risk of occlusive vascular events, including those with an acute myocardial infarction or ischaemic stroke, unstable or stable angina, previous myocardial infarction, stroke or cerebral ischaemia, peripheral arterial disease, or atrial fibrillation. Low dose aspirin (75-150 mg daily) is an effective antiplatelet regimen for long term use, but in acute settings an initial loading dose of at least 150 mg aspirin may be required. Adding a second antiplatelet drug to aspirin may produce additional benefits in some clinical circumstances, but more research into this strategy is needed.
8151849	Major depression in patients hospitalized following an MI is an independent risk factor for mortality at 6 months. Its impact is at least equivalent to that of left ventricular dysfunction (Killip class) and history of previous MI. Additional study is needed to determine whether treatment of depression can influence post-MI survival and to assess possible underlying mechanisms.
12625795	Many depressed patients present to primary care physicians instead of psychiatrists, and several studies have found that primary care physicians underdiagnose and undertreat depression. Primary care physicians may fail to diagnose and treat depression for many reasons: depression as it appears in primary care is in many ways a different disease than that seen in the psychiatric setting, and the process of detecting and treating it is different as well. Primary care clinicians face 2 main tasks when addressing depression in routine practice: to accurately identify those patients who are most likely to benefit from antidepressant treatment and to provide the best treatment options possible in the limited time available per visit. Treatment algorithms can be useful, but they are often difficult to apply in primary care. This article reviews the evidence about the detection and treatment of depression in primary care, examines current research on the differences between the primary and specialty care environments, and discusses aspects of treatment guidelines and algorithms that are important to primary care physicians.
12583858	This blood-pressure-lowering regimen reduced the risk of stroke among both hypertensive and non-hypertensive individuals with a history of stroke or transient ischaemic attack. Combination therapy with perindopril and indapamide produced larger blood pressure reductions and larger risk reductions than did single drug therapy with perindopril alone. Treatment with these two agents should now be considered routinely for patients with a history of stroke or transient ischaemic attack, irrespective of their blood pressure.
17606951	Accounting models provide less precise estimates of disease burden than do econometric models. The authors seek to improve these estimates for cardiovascular disease using a nationally representative survey and econometric modeling to isolate the proportion of medical expenditures attributable to four chronic cardiovascular diseases: stroke, hypertension, congestive heart failure, and other heart diseases. Approximately 17% of all medical expenditures, or $149 billion annually, and nearly 30% of Medicare expenditures are attributable to these diseases. Of the four diseases, hypertension accounts for the largest share of prescription expenditures across payers and the largest share of all Medicaid expenditures. The large number of people with cardiovascular disease who are eligible for both Medicare and Medicaid could lead to large shifts in the burden to these payers as prescription drug coverage is included in Medicare. A societal perspective is important when describing the economic burden of cardiovascular disease.
