15656708	Nearly 10% of CSHCN had experienced delayed or forgone health care in the past 12 months in 2001. Logistic regression showed that delayed or forgone care was more likely to be reported by the families of CSHCN who were adolescents, who had more severe limitations, lived in the South or West, lacked medical insurance, and who lived in families under or near the federal poverty line. Hispanics were more likely to report "lack of medical specialty" and "had language, communication, or cultural problems with provider." Both Hispanics and non-Hispanic others were twice as likely to report "provider not accessible" as reasons for the delayed or forgone care compared with non-Hispanic whites or blacks. conclusion: CSHCN with certain socioeconomic status and sociodemographic characteristics, as well as those with severe limitations in activity, were more likely to be affected by circumstances that result in delayed or forgone care.
9559090	The purpose of this study was to determine the prevalence of dental caries and the use of dental services in a pediatric population of Mexican-American migrant workers. The results were compared with the Mexican-American child population from the Hispanic Health and Nutrition Examination Survey (HHANES). One hundred thirty three-to-sixteen-year-old children participated in the study. The children who were born in Mexico and those who spoke Spanish had seen the dentist less often and had a higher incidence of decayed teeth than those who were born in the US and than those who spoke English (p < 0.05). The children from low-income families had visited the dentist less frequently and did so at an older age than those from high income families (p < 0.05). When compared with HHANES, the children in this study visited the dentist at an older age, had been to the dentist less often, were less likely to have dental insurance, and had a higher incidence of dental caries than the children from HHANES (p > 0.05). This study demonstrated a general lack of dental health knowledge, a disproportionate prevalence of decayed teeth and unmet dental need in the Mexican-American migrant workers' children.
9586472	In this study, patient opinion on oral rehabilitation by means of Brnemark implants was investigated. All patients were referred to a periodontal clinic for implant installation and treated by one and the same operator. Prosthetic restorations were performed by dentists, who had no previous experience with prostheses on implants, but had completed a postgraduate training course. Patient opinion was obtained through questionnaires, pertaining to satisfaction and oral function. A comparison was made between pre-implant situation, short-term (< 4 months) and long-term functioning (3 years) with the implant-restorative rehabilitation. In total, 61 patients participated in the study; 23 received a full lower arch bridge and 18 a full upper arch bridge, while 20 patients got partial bridges. Of 298 installed implants, 7 failed at abutment connection (2.3%) and 1 during the 3-year follow-up interval (0.3%). The study results indicated that a great majority of patients were very satisfied with the treatment. Comfort with eating, aesthetics, phonetics and overall satisfaction improved significantly and nearly all patients said that they would undergo the treatment again or recommend it to others. Patients experienced their implants as "natural" teeth. The conclusion is that rehabilitation ad modum Brnemark, even in the hands of non-specialized dentists, can be of high quality, improving oral function and satisfying the needs and demands of patients.
8942125	To examine the prevalence of depressive symptoms and its relationship with quality-of-life domains in home-care cancer patients at an advanced stage of illness, 86 patients were given psychological tests for depression (Hospital Anxiety Depression Scale) (HAD) and quality of life (EORTC-QLQ-C30) 1 week after admission to the home-care program. Using a proper cut-off score on the HAD-Depression subscale, depressive symptoms were reported by 45% of the patients. The quality of life of depressed patients was more affected than non-depressed patients in the social, emotional, cognitive, and physical domains. Significant correlations were found between depression scores and impairment in most quality-of-life areas. These findings support the importance of depression and quality-of-life evaluation in patients with advanced cancer who are followed in a home-care setting. This evaluation is needed to provide patients, their families, and caregivers with appropriate psychosocial interventions.
11219561	These findings highlight the importance of relationship quality in determining patients' loyalty to a physician's practice. They suggest that in the race to the bottom line medical practices and health plans cannot afford to ignore that the essence of medical care involves the interaction of one human being with another.
10461579	Benchmarking is generally considered to be an important tool for quality improvement. Traditional approaches to benchmarking have relied on subjective identification of 'leaders in the field'. We derive an objective, reproducible and attainable Achievable Benchmark of Care (ABC) by measuring and analysing performance on process-of-care indicators. Three characteristics of the ABC that we deem essential are: (1) benchmarks represent a measurable level of excellence; (2) benchmarks are demonstrably attainable; (3) benchmarks are derived from data in an objective, reproducible and predetermined fashion. From these characteristics it follows that (4) providers with high performance are selected to define a level of excellence in a predetermined fashion, but (5) providers with high performance on small numbers of cases do not influence unduly benchmark levels. We use the 'pared mean' to operationalize the ABC. Roughly, the pared mean summarizes the performance of top-ranked providers whereby at least 10% of the patient pool across all providers is included. Bayesian estimators for adjustment of performance of providers with small sample sizes are used to rank providers. Randomized controlled trials to assess the independent effect of the ABC in quality improvement projects are under way. We have developed a methodology objectively and reproducibly to derive a level of excellent, attainable performance, based on measured performance by a group of providers. The ABC can be applied to groups of providers in communities, to institutions and departments within them, or to individual practitioners.
18370895	The FATE survey offers an important source of quality data that can be used to improve the end-of-life care of all veterans, regardless of the type of care they receive or their site of death.
17680901	This study reveals that patient race is associated with the quality of patient-physician communication to a greater extent than BP control. Interventions that improve patient-physician communication should be tested as a strategy to reduce racial disparities in hypertension care and outcomes.
17606959	Incapacitated patients without surrogates accounted for approximately 1 in 20 deaths in intensive care units. Most life-support decisions were made by physicians without institutional or judicial review.
10815125	The observed racial/ethnic differences in CAHPS ratings and reports of care are more a result of different experiences with care for people enrolled in the same plans than a result of racial/ethnic minorities being enrolled in plans with worse experiences. Health care organizations should engage in quality improvement activities to address the observed racial/ethnic disparities in assessments of care.
